#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   1791      5.09e+00    4.67e+00      2.62e-02    2.76e-02      1.61e-01    1.48e-01    1.0e-03
   1800      4.81e+00    4.61e+00      1.22e-02    1.23e-02      1.52e-01    1.46e-01    1.0e-03
   1809      5.12e+00    4.77e+00      4.59e-02    4.67e-02      1.62e-01    1.51e-01    1.0e-03
   1818      4.05e+00    4.57e+00      2.23e-02    2.25e-02      1.28e-01    1.45e-01    1.0e-03
   1827      4.51e+00    4.59e+00      2.64e-02    2.48e-02      1.43e-01    1.45e-01    1.0e-03
   1836      3.98e+00    4.54e+00      3.01e-02    3.12e-02      1.26e-01    1.44e-01    1.0e-03
   1845      4.96e+00    4.53e+00      3.49e-02    3.36e-02      1.57e-01    1.43e-01    1.0e-03
   1854      5.51e+00    4.51e+00      2.37e-02    2.33e-02      1.74e-01    1.43e-01    1.0e-03
   1863      4.86e+00    4.50e+00      1.85e-02    1.89e-02      1.54e-01    1.42e-01    1.0e-03
   1872      4.54e+00    4.51e+00      3.81e-02    3.66e-02      1.43e-01    1.43e-01    1.0e-03
   1881      4.70e+00    4.46e+00      3.13e-03    3.46e-03      1.49e-01    1.41e-01    1.0e-03
   1890      4.82e+00    4.51e+00      4.45e-02    4.36e-02      1.52e-01    1.42e-01    1.0e-03
   1899      4.36e+00    4.81e+00      2.72e-02    2.73e-02      1.38e-01    1.52e-01    1.0e-03
   1908      4.63e+00    4.38e+00      1.17e-02    1.20e-02      1.46e-01    1.38e-01    1.0e-03
   1917      4.10e+00    4.50e+00      1.66e-02    1.70e-02      1.30e-01    1.42e-01    1.0e-03
   1926      5.86e+00    4.58e+00      1.36e-02    1.22e-02      1.85e-01    1.45e-01    1.0e-03
   1935      4.63e+00    4.86e+00      2.12e-02    2.11e-02      1.46e-01    1.54e-01    1.0e-03
   1944      4.83e+00    4.80e+00      3.13e-02    3.04e-02      1.53e-01    1.52e-01    1.0e-03
   1953      4.34e+00    4.68e+00      7.09e-03    7.10e-03      1.37e-01    1.48e-01    1.0e-03
   1962      4.14e+00    4.61e+00      3.91e-02    3.80e-02      1.31e-01    1.46e-01    1.0e-03
   1971      4.06e+00    4.51e+00      3.40e-02    3.36e-02      1.28e-01    1.43e-01    1.0e-03
   1980      4.71e+00    4.53e+00      4.26e-02    4.33e-02      1.49e-01    1.43e-01    1.0e-03
   1989      4.05e+00    4.36e+00      4.92e-03    3.49e-03      1.28e-01    1.38e-01    1.0e-03
   1998      4.64e+00    4.45e+00      3.61e-03    3.29e-03      1.47e-01    1.41e-01    1.0e-03
   2007      4.32e+00    4.49e+00      3.19e-02    3.19e-02      1.37e-01    1.42e-01    1.0e-03
