Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
15.4000       -571.1781    -574.5975       3.4194   300.6
15.4500       -571.5680    -574.9346       3.3666   296.0
15.5000       -571.3217    -574.8641       3.5424   311.4
15.5500       -571.1624    -574.8185       3.6562   321.4
15.6000       -571.3520    -574.5332       3.1813   279.7
15.6500       -571.2662    -574.8508       3.5845   315.1
15.7000       -571.3388    -574.7734       3.4346   301.9
15.7500       -571.8674    -574.9477       3.0803   270.8
15.8000       -571.8889    -575.2435       3.3546   294.9
15.8500       -571.3498    -574.7126       3.3628   295.6
15.9000       -571.0958    -574.5615       3.4657   304.7
15.9500       -570.9277    -574.4418       3.5141   308.9
16.0000       -571.2479    -574.6362       3.3883   297.9
16.0500       -571.2926    -574.5787       3.2861   288.9
16.1000       -571.5993    -574.9884       3.3891   297.9
16.1500       -571.9314    -575.2928       3.3614   295.5
16.2000       -571.1900    -574.8207       3.6308   319.2
16.2500       -571.2248    -574.4395       3.2147   282.6
16.3000       -571.4900    -574.6358       3.1458   276.6
16.3500       -571.7246    -575.1074       3.3827   297.4
16.4000       -571.6200    -574.5381       2.9181   256.5
16.4500       -571.6086    -574.9823       3.3737   296.6
16.5000       -571.3673    -574.4993       3.1320   275.3
16.5500       -571.6279    -575.0448       3.4169   300.4
16.6000       -571.2051    -574.4971       3.2920   289.4
16.6500       -571.6528    -574.7832       3.1305   275.2
16.7000       -571.1617    -574.5798       3.4181   300.5
16.7500       -571.4569    -574.5184       3.0616   269.2
16.8000       -571.7696    -574.9638       3.1942   280.8
16.8500       -571.2389    -574.7332       3.4943   307.2
16.9000       -571.4102    -574.5452       3.1350   275.6
16.9500       -571.5408    -574.7677       3.2269   283.7
17.0000       -571.7160    -574.7237       3.0077   264.4
17.0500       -571.7945    -574.9937       3.1993   281.3
17.1000       -571.6865    -574.8963       3.2097   282.2
17.1500       -571.1183    -574.5374       3.4191   300.6
17.2000       -570.6256    -573.9189       3.2934   289.5
17.2500       -570.7008    -573.9145       3.2137   282.5
17.3000       -570.9509    -574.4067       3.4558   303.8
17.3500       -571.4466    -574.8704       3.4238   301.0
17.4000       -571.2201    -574.4519       3.2317   284.1
17.4500       -571.8776    -575.1278       3.2502   285.7
17.5000       -572.0522    -574.7283       2.6761   235.3
17.5500       -571.8515    -574.8923       3.0407   267.3
17.6000       -571.5699    -574.9849       3.4150   300.2
17.6500       -572.1439    -575.3625       3.2186   283.0
17.7000       -571.2943    -574.9164       3.6221   318.4
17.7500       -571.2682    -574.6384       3.3702   296.3
17.8000       -571.6338    -574.6736       3.0398   267.2
17.8500       -571.6929    -574.5732       2.8803   253.2
17.9000       -571.4211    -574.8713       3.4502   303.3
17.9500       -571.5815    -574.9447       3.3632   295.7
18.0000       -571.2045    -574.6615       3.4571   303.9
18.0500       -570.7546    -574.4199       3.6653   322.2
18.1000       -570.7957    -574.5517       3.7561   330.2
18.1500       -571.5123    -574.4793       2.9670   260.8
18.2000       -571.6916    -574.9374       3.2458   285.4
18.2500       -571.4308    -574.9927       3.5619   313.1
18.3000       -571.2650    -574.6200       3.3550   294.9
18.3500       -571.7322    -574.8446       3.1124   273.6
18.4000       -571.1234    -574.5577       3.4344   301.9
18.4500       -571.2182    -574.9442       3.7260   327.6
18.5000       -571.0015    -574.7557       3.7542   330.0
18.5500       -571.1554    -574.4089       3.2535   286.0
18.6000       -571.7413    -574.7140       2.9726   261.3
18.6500       -571.7388    -574.8050       3.0662   269.6
18.7000       -571.4374    -574.6319       3.1945   280.8
18.7500       -571.4692    -574.6363       3.1671   278.4
18.8000       -571.5487    -575.2191       3.6704   322.7
18.8500       -572.0656    -575.0572       2.9915   263.0
18.9000       -571.4394    -574.8072       3.3678   296.1
18.9500       -571.0627    -574.1819       3.1192   274.2
19.0000       -571.0538    -574.8063       3.7525   329.9
19.0500       -571.7147    -575.1010       3.3863   297.7
19.1000       -571.2465    -574.6926       3.4461   303.0
19.1500       -571.6033    -574.3562       2.7529   242.0
19.2000       -571.8020    -575.1258       3.3237   292.2
19.2500       -571.5218    -574.5245       3.0027   264.0
19.3000       -571.7327    -575.0910       3.3583   295.2
19.3500       -571.8812    -574.9963       3.1151   273.9
19.4000       -571.4024    -574.6527       3.2503   285.7
19.4500       -571.4624    -574.7293       3.2669   287.2
19.5000       -571.4147    -574.7670       3.3523   294.7
19.5500       -571.8703    -574.9733       3.1031   272.8
19.6000       -572.2227    -575.2643       3.0416   267.4
19.6500       -572.0193    -575.5095       3.4902   306.8
19.7000       -572.3012    -575.1819       2.8807   253.2
19.7500       -572.2247    -575.5349       3.3102   291.0
19.8000       -572.0579    -575.3579       3.2999   290.1
19.8500       -571.7171    -575.0499       3.3328   293.0
19.9000       -571.8479    -574.9951       3.1471   276.7
19.9500       -571.5756    -574.9412       3.3656   295.9
20.0000       -571.3045    -574.5979       3.2934   289.5
20.0500       -571.4555    -574.8195       3.3640   295.7
20.1000       -571.5666    -575.0662       3.4996   307.7
20.1500       -570.8651    -574.4631       3.5981   316.3
20.2000       -571.1285    -574.4597       3.3312   292.9
20.2500       -571.3310    -574.3610       3.0300   266.4
20.3000       -571.6002    -574.8057       3.2055   281.8
20.3500       -571.3797    -574.5452       3.1655   278.3
20.4000       -571.5919    -574.8090       3.2171   282.8
20.4500       -571.4878    -574.4338       2.9460   259.0
20.5000       -571.6029    -574.4546       2.8517   250.7
20.5500       -571.5231    -574.7906       3.2675   287.3
20.6000       -571.9659    -574.8797       2.9138   256.2
20.6500       -571.3183    -574.8928       3.5744   314.2
20.7000       -571.7971    -575.0298       3.2327   284.2
20.7500       -571.3591    -574.5516       3.1925   280.7
20.8000       -571.3518    -574.7784       3.4267   301.2
20.8500       -571.3792    -574.7438       3.3646   295.8
20.9000       -571.7031    -574.7634       3.0604   269.0
20.9500       -571.7815    -574.9202       3.1387   275.9
21.0000       -571.7733    -574.5276       2.7543   242.1
21.0500       -571.6764    -574.3862       2.7098   238.2
21.1000       -571.9462    -574.8225       2.8762   252.9
21.1500       -571.5706    -574.5637       2.9931   263.1
21.2000       -571.4882    -574.4498       2.9615   260.4
21.2500       -570.8377    -574.1165       3.2788   288.2
21.3000       -570.7359    -574.5752       3.8392   337.5
21.3500       -570.5738    -574.5105       3.9367   346.1
21.4000       -570.5834    -574.2853       3.7020   325.5
21.4500       -570.6637    -574.6481       3.9843   350.3
21.5000       -571.0428    -574.8957       3.8528   338.7
21.5500       -571.1167    -574.1257       3.0090   264.5
21.6000       -570.8386    -574.5265       3.6879   324.2
21.6500       -571.1472    -574.3424       3.1952   280.9
21.7000       -571.7745    -574.9270       3.1525   277.1
21.7500       -571.4666    -574.5239       3.0573   268.8
21.8000       -571.6495    -574.4125       2.7630   242.9
21.8500       -571.1882    -574.2712       3.0830   271.0
21.9000       -571.1694    -574.4417       3.2723   287.7
21.9500       -571.0348    -574.5420       3.5071   308.3
22.0000       -571.3651    -574.2611       2.8960   254.6
22.0500       -571.4395    -574.7210       3.2815   288.5
22.1000       -570.4377    -574.0645       3.6268   318.8
22.1500       -570.2565    -574.0089       3.7524   329.9
22.2000       -570.9645    -574.3910       3.4265   301.2
22.2500       -570.6363    -574.5187       3.8824   341.3
22.3000       -570.9528    -574.3578       3.4049   299.3
22.3500       -571.2505    -574.3350       3.0844   271.2
22.4000       -571.0298    -574.5521       3.5223   309.7
22.4500       -571.2604    -574.6472       3.3868   297.7
22.5000       -571.0700    -574.5063       3.4364   302.1
22.5500       -571.2179    -574.6258       3.4079   299.6
22.6000       -571.6818    -574.5216       2.8397   249.6
22.6500       -571.1328    -574.5426       3.4097   299.8
22.7000       -571.9051    -575.2824       3.3773   296.9
22.7500       -571.2873    -574.7412       3.4539   303.6
22.8000       -571.7714    -574.9234       3.1520   277.1
22.8500       -571.2231    -574.6298       3.4067   299.5
22.9000       -570.9442    -574.2818       3.3375   293.4
22.9500       -570.9253    -574.8752       3.9499   347.2
23.0000       -571.2608    -574.8182       3.5575   312.7
23.0500       -571.0367    -574.6245       3.5878   315.4
23.1000       -570.6918    -574.4561       3.7642   330.9
23.1500       -571.0878    -574.5263       3.4384   302.3
23.2000       -571.1368    -574.5279       3.3911   298.1
23.2500       -571.2348    -575.3407       4.1059   361.0
23.3000       -571.1434    -574.2184       3.0750   270.3
23.3500       -571.2247    -574.5558       3.3311   292.8
23.4000       -571.4240    -574.8037       3.3798   297.1
23.4500       -571.5984    -574.5745       2.9761   261.6
23.5000       -571.9426    -575.3374       3.3948   298.4
23.5500       -571.6441    -574.7349       3.0908   271.7
23.6000       -571.1956    -574.4104       3.2148   282.6
23.6500       -570.6554    -574.3655       3.7101   326.2
23.7000       -571.1016    -574.8028       3.7012   325.4
23.7500       -571.0842    -574.7026       3.6184   318.1
23.8000       -571.1286    -574.3599       3.2314   284.1
23.8500       -570.6395    -574.5721       3.9326   345.7
23.9000       -571.3406    -574.3266       2.9860   262.5
23.9500       -571.8282    -575.3277       3.4994   307.6
24.0000       -571.6682    -575.1349       3.4667   304.8
24.0500       -571.6858    -574.8350       3.1492   276.9
24.1000       -571.7856    -575.0308       3.2452   285.3
24.1500       -571.8350    -574.8473       3.0123   264.8
24.2000       -571.4126    -574.7613       3.3487   294.4
24.2500       -570.9583    -574.3003       3.3420   293.8
24.3000       -571.2385    -574.8403       3.6018   316.6
24.3500       -571.5763    -575.0610       3.4847   306.4
24.4000       -571.5015    -574.4784       2.9769   261.7
24.4500       -571.2661    -574.6907       3.4246   301.1
24.5000       -571.9617    -575.0976       3.1358   275.7
24.5500       -571.6335    -574.4901       2.8566   251.1
24.6000       -570.9418    -574.5824       3.6406   320.1
24.6500       -570.5893    -574.0592       3.4699   305.1
24.7000       -570.3060    -574.1492       3.8431   337.9
24.7500       -569.9823    -574.3482       4.3659   383.8
24.8000       -570.6935    -574.3034       3.6099   317.4
24.8500       -570.7885    -574.3651       3.5766   314.4
24.9000       -571.3345    -574.8223       3.4879   306.6
24.9500       -571.4071    -574.5453       3.1382   275.9
25.0000       -571.5853    -574.7389       3.1537   277.2
25.0500       -571.4743    -574.8521       3.3778   297.0
25.1000       -571.0089    -574.4171       3.4082   299.6
25.1500       -571.3360    -574.7928       3.4568   303.9
25.2000       -571.8338    -575.1286       3.2949   289.7
25.2500       -571.5683    -575.0746       3.5063   308.2
25.3000       -572.1668    -575.2318       3.0650   269.5
25.3500       -572.3891    -575.1372       2.7481   241.6
25.4000       -571.3576    -574.9386       3.5810   314.8
25.4500       -572.0076    -575.0343       3.0266   266.1
25.5000       -571.2914    -574.7254       3.4340   301.9
25.5500       -570.8229    -574.3982       3.5753   314.3
25.6000       -570.9816    -574.6068       3.6252   318.7
25.6500       -571.3521    -574.7132       3.3611   295.5
25.7000       -571.8800    -574.5731       2.6930   236.8
25.7500       -571.9710    -575.0554       3.0844   271.2
25.8000       -572.2529    -574.9443       2.6914   236.6
25.8500       -571.8778    -574.8383       2.9605   260.3
25.9000       -571.9594    -574.9253       2.9659   260.7
25.9500       -571.7441    -575.0814       3.3373   293.4
26.0000       -571.5269    -574.8452       3.3184   291.7
26.0500       -572.0809    -575.0036       2.9226   256.9
26.1000       -571.5621    -574.7513       3.1892   280.4
26.1500       -571.5623    -575.0048       3.4425   302.6
26.2000       -571.4660    -574.6821       3.2161   282.7
26.2500       -571.1996    -574.6937       3.4941   307.2
26.3000       -571.2951    -574.7873       3.4922   307.0
26.3500       -571.7578    -574.7174       2.9596   260.2
26.4000       -571.7630    -574.7937       3.0307   266.4
26.4500       -571.2945    -574.6147       3.3202   291.9
26.5000       -571.2873    -574.7694       3.4821   306.1
