Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
15.9000       -451.5515    -454.2498       2.6983   336.7
15.9500       -451.7604    -453.9875       2.2271   277.9
16.0000       -452.2930    -454.5950       2.3020   287.2
16.0500       -452.2470    -454.2130       1.9660   245.3
16.1000       -452.0770    -454.4581       2.3811   297.1
16.1500       -451.7770    -453.9296       2.1526   268.6
16.2000       -451.7021    -453.9116       2.2095   275.7
16.2500       -452.1204    -454.4341       2.3137   288.7
16.3000       -452.2637    -454.3226       2.0590   256.9
16.3500       -452.5499    -454.5221       1.9722   246.1
16.4000       -452.4956    -454.3007       1.8052   225.2
16.4500       -451.8767    -454.0709       2.1942   273.8
16.5000       -451.9405    -454.3327       2.3922   298.5
16.5500       -452.3015    -454.4241       2.1226   264.9
16.6000       -452.4641    -454.3446       1.8805   234.6
16.6500       -452.1735    -454.2341       2.0606   257.1
16.7000       -452.4613    -454.2350       1.7736   221.3
16.7500       -452.2252    -454.1932       1.9679   245.6
16.8000       -452.1989    -454.1908       1.9920   248.6
16.8500       -452.4161    -454.4997       2.0837   260.0
16.9000       -452.1660    -454.3408       2.1748   271.4
16.9500       -451.6479    -454.1365       2.4886   310.5
17.0000       -451.2384    -453.8996       2.6611   332.1
17.0500       -451.4079    -454.1842       2.7763   346.4
17.1000       -451.2841    -453.5108       2.2267   277.8
17.1500       -451.0713    -453.8349       2.7636   344.8
17.2000       -451.5035    -454.0249       2.5213   314.6
17.2500       -451.1467    -453.8057       2.6590   331.8
17.3000       -451.6687    -454.1751       2.5064   312.7
17.3500       -452.0579    -453.9881       1.9302   240.8
17.4000       -451.8061    -454.0080       2.2019   274.8
17.4500       -451.7403    -453.7826       2.0423   254.8
17.5000       -451.2287    -453.9000       2.6712   333.3
17.5500       -451.4845    -454.3538       2.8694   358.0
17.6000       -451.3160    -453.8879       2.5719   320.9
17.6500       -451.9441    -454.2613       2.3172   289.1
17.7000       -451.9331    -454.0938       2.1607   269.6
17.7500       -451.3467    -453.7630       2.4163   301.5
17.8000       -451.2659    -453.8099       2.5441   317.4
17.8500       -451.2558    -453.9950       2.7393   341.8
17.9000       -451.1781    -453.7917       2.6136   326.1
17.9500       -451.7806    -453.9542       2.1736   271.2
18.0000       -451.6094    -453.9508       2.3414   292.2
18.0500       -451.9212    -453.9220       2.0008   249.7
18.1000       -451.6803    -454.1715       2.4912   310.8
18.1500       -452.0214    -453.9881       1.9667   245.4
18.2000       -452.0908    -454.1951       2.1042   262.6
18.2500       -452.0547    -454.0250       1.9702   245.8
18.3000       -452.4909    -454.4584       1.9675   245.5
18.3500       -452.2569    -454.2231       1.9662   245.3
18.4000       -451.9623    -454.3546       2.3924   298.5
18.4500       -450.8695    -453.5821       2.7126   338.5
18.5000       -451.2276    -454.0551       2.8274   352.8
18.5500       -451.4076    -454.0209       2.6133   326.1
18.6000       -451.7371    -453.8398       2.1027   262.4
18.6500       -451.4301    -453.6730       2.2428   279.9
18.7000       -451.8047    -453.9945       2.1898   273.2
18.7500       -451.5813    -454.0714       2.4902   310.7
18.8000       -451.7132    -454.0988       2.3856   297.7
18.8500       -451.6546    -454.0714       2.4168   301.6
18.9000       -451.8995    -454.0580       2.1585   269.3
18.9500       -451.5678    -454.0631       2.4953   311.4
19.0000       -451.5334    -453.8826       2.3493   293.1
19.0500       -451.4988    -454.3757       2.8769   359.0
19.1000       -451.6610    -454.0057       2.3447   292.6
19.1500       -451.6776    -454.3734       2.6958   336.4
19.2000       -451.6553    -453.9796       2.3242   290.0
19.2500       -451.8496    -454.2331       2.3835   297.4
19.3000       -451.8276    -453.9590       2.1315   266.0
19.3500       -452.1523    -454.2539       2.1016   262.2
19.4000       -451.6167    -454.0028       2.3861   297.7
19.4500       -451.9367    -453.8278       1.8912   236.0
19.5000       -451.7056    -454.1883       2.4827   309.8
19.5500       -451.5107    -453.9568       2.4461   305.2
19.6000       -451.3865    -453.8593       2.4728   308.6
19.6500       -451.5087    -454.0300       2.5214   314.6
19.7000       -451.3914    -453.6697       2.2784   284.3
19.7500       -450.9055    -453.8180       2.9125   363.4
19.8000       -451.2669    -454.2311       2.9643   369.9
19.8500       -451.6288    -454.3610       2.7321   340.9
19.9000       -452.0028    -454.4484       2.4456   305.2
19.9500       -452.2273    -454.2119       1.9847   247.6
20.0000       -451.8971    -454.3194       2.4222   302.2
20.0500       -451.9602    -454.1866       2.2264   277.8
20.1000       -452.1482    -454.3281       2.1798   272.0
20.1500       -451.7906    -454.0951       2.3045   287.6
20.2000       -451.9365    -454.1254       2.1889   273.1
20.2500       -451.8528    -454.4991       2.6463   330.2
20.3000       -451.8864    -454.1873       2.3009   287.1
20.3500       -451.9505    -454.4573       2.5068   312.8
20.4000       -451.5642    -453.9881       2.4239   302.4
20.4500       -452.0238    -454.2988       2.2750   283.9
20.5000       -451.8646    -453.9589       2.0943   261.3
20.5500       -452.1471    -454.1873       2.0402   254.6
20.6000       -451.9265    -453.8055       1.8791   234.5
20.6500       -452.1924    -454.4783       2.2859   285.2
20.7000       -452.2569    -454.3821       2.1253   265.2
20.7500       -452.2302    -454.3548       2.1245   265.1
20.8000       -452.1265    -454.1140       1.9875   248.0
20.8500       -452.3577    -454.0110       1.6533   206.3
20.9000       -451.9089    -454.0142       2.1053   262.7
20.9500       -451.9318    -454.2002       2.2684   283.1
21.0000       -451.7653    -454.0272       2.2619   282.2
21.0500       -451.5087    -453.9919       2.4832   309.9
21.1000       -451.5632    -453.9787       2.4155   301.4
21.1500       -451.8296    -454.0573       2.2276   278.0
21.2000       -452.1345    -454.2512       2.1167   264.1
21.2500       -451.8367    -454.5907       2.7540   343.6
21.3000       -451.3743    -454.1377       2.7635   344.8
21.3500       -451.0071    -453.6536       2.6465   330.2
21.4000       -451.3133    -453.9940       2.6807   334.5
21.4500       -451.3867    -454.2033       2.8166   351.5
21.5000       -451.5272    -454.1216       2.5944   323.7
