#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
    675      2.34e+00    2.43e+00      1.89e-03    1.46e-03      2.06e-01    2.13e-01    1.3e-04
    678      2.24e+00    2.44e+00      3.70e-03    2.11e-03      1.97e-01    2.15e-01    1.3e-04
    681      2.45e+00    2.42e+00      2.63e-03    2.64e-03      2.15e-01    2.13e-01    1.3e-04
    684      2.26e+00    2.39e+00      4.30e-03    2.74e-03      1.99e-01    2.10e-01    1.3e-04
    687      2.65e+00    2.41e+00      5.25e-03    1.77e-03      2.33e-01    2.12e-01    1.3e-04
    690      2.69e+00    2.45e+00      1.79e-03    1.51e-03      2.36e-01    2.15e-01    1.3e-04
    693      2.40e+00    2.38e+00      9.47e-04    1.40e-03      2.11e-01    2.09e-01    1.3e-04
    696      2.17e+00    2.40e+00      1.67e-03    1.83e-03      1.91e-01    2.11e-01    1.3e-04
    699      2.51e+00    2.38e+00      4.19e-05    1.49e-03      2.21e-01    2.09e-01    1.3e-04
    702      2.23e+00    2.07e+00      1.67e-03    1.86e-03      2.32e-01    2.16e-01    9.1e-05
    705      2.12e+00    2.04e+00      2.79e-03    1.74e-03      2.21e-01    2.13e-01    9.1e-05
    708      2.50e+00    2.03e+00      1.44e-03    1.67e-03      2.60e-01    2.11e-01    9.1e-05
    711      1.78e+00    2.05e+00      1.54e-03    1.55e-03      1.85e-01    2.13e-01    9.1e-05
    714      1.96e+00    2.07e+00      4.55e-04    1.62e-03      2.04e-01    2.15e-01    9.1e-05
    717      1.98e+00    2.02e+00      1.08e-03    1.53e-03      2.06e-01    2.11e-01    9.1e-05
    720      2.05e+00    2.04e+00      4.97e-04    1.72e-03      2.13e-01    2.13e-01    9.1e-05
    723      2.02e+00    2.09e+00      1.36e-03    1.58e-03      2.10e-01    2.18e-01    9.1e-05
    726      2.00e+00    2.06e+00      1.50e-04    1.46e-03      2.08e-01    2.15e-01    9.1e-05
    729      2.07e+00    2.03e+00      1.75e-03    1.84e-03      2.16e-01    2.11e-01    9.1e-05
    732      2.17e+00    2.03e+00      4.14e-03    1.15e-03      2.26e-01    2.11e-01    9.1e-05
    735      2.12e+00    2.07e+00      2.28e-03    1.41e-03      2.21e-01    2.15e-01    9.1e-05
    738      2.05e+00    2.03e+00      2.97e-03    1.65e-03      2.13e-01    2.11e-01    9.1e-05
    741      2.03e+00    2.04e+00      2.93e-03    1.24e-03      2.11e-01    2.12e-01    9.1e-05
    744      1.87e+00    2.03e+00      5.03e-04    1.42e-03      1.95e-01    2.12e-01    9.1e-05
    747      2.16e+00    2.04e+00      4.97e-04    1.67e-03      2.25e-01    2.12e-01    9.1e-05
    750      2.04e+00    2.02e+00      9.63e-04    1.41e-03      2.13e-01    2.10e-01    9.1e-05
    753      2.02e+00    2.00e+00      2.30e-03    1.32e-03      2.10e-01    2.08e-01    9.1e-05
    756      1.83e+00    2.05e+00      3.11e-03    2.10e-03      1.91e-01    2.13e-01    9.1e-05
    759      1.77e+00    2.01e+00      6.07e-04    1.15e-03      1.84e-01    2.09e-01    9.1e-05
    762      2.16e+00    2.05e+00      3.42e-04    1.64e-03      2.25e-01    2.13e-01    9.1e-05
    765      2.00e+00    2.06e+00      1.33e-03    1.80e-03      2.08e-01    2.15e-01    9.1e-05
    768      1.96e+00    2.04e+00      3.34e-04    1.72e-03      2.04e-01    2.13e-01    9.1e-05
    771      1.87e+00    2.02e+00      8.71e-04    1.79e-03      1.94e-01    2.10e-01    9.1e-05
    774      1.89e+00    2.06e+00      2.81e-03    1.74e-03      1.97e-01    2.14e-01    9.1e-05
    777      1.90e+00    2.02e+00      1.12e-03    1.69e-03      1.97e-01    2.10e-01    9.1e-05
    780      2.12e+00    2.04e+00      2.45e-04    1.82e-03      2.20e-01    2.12e-01    9.1e-05
    783      2.17e+00    2.06e+00      4.09e-03    1.54e-03      2.26e-01    2.15e-01    9.1e-05
    786      2.23e+00    2.00e+00      2.54e-03    1.80e-03      2.32e-01    2.09e-01    9.1e-05
    789      2.49e+00    2.04e+00      9.43e-04    1.62e-03      2.59e-01    2.13e-01    9.1e-05
